,threshold,threshold,TP,TP,FN,FN,FP,FP,TN,TN,recall,recall,precision,precision,f1,f1,weighted_cost,weighted_cost
objective,cost_weighted,f1,cost_weighted,f1,cost_weighted,f1,cost_weighted,f1,cost_weighted,f1,cost_weighted,f1,cost_weighted,f1,cost_weighted,f1,cost_weighted,f1
model,,,,,,,,,,,,,,,,,,
Ensemble (average),0.47405180908405253,0.5969400161666365,2614.0,2326.0,3905.0,4193.0,1541.0,177.0,145977.0,147341.0,0.4009817456665133,0.35680319067341615,0.629121540312876,0.9292848581701958,0.48978827056398727,0.5156284637552649,32781.0,33721.0
Ensemble (union),,,2857.0,2443.0,3662.0,4076.0,5495.0,2012.0,142023.0,145506.0,0.4382574014419389,0.3747507286393619,0.34207375478927204,0.5483726150392817,0.3842377782260776,0.4452341899034081,34791.0,34620.0
Model A,0.5690903332956938,0.607530339087342,2134.0,1816.0,4385.0,4703.0,3627.0,1820.0,143891.0,145698.0,0.32735082067801813,0.27857033287314004,0.37042180177052597,0.49944994499449946,0.34755700325732897,0.35765632693254557,38707.0,39444.0
Model B (cnn),0.451177567243576,0.599386990070343,2733.0,2352.0,3786.0,4167.0,2149.0,237.0,145369.0,147281.0,0.41923607915324435,0.36079153244362633,0.5598115526423597,0.9084588644264194,0.47943162880449086,0.5164690382081687,32437.0,33573.0
Model B (global),0.5752217877067469,0.6323137679120828,2699.0,1995.0,3820.0,4524.0,8109.0,3542.0,139409.0,143976.0,0.4140205552998926,0.30602853198343305,0.24972242783123613,0.36030341340075855,0.31153690771628095,0.3309555408095554,38669.0,39734.0
Model B (zonal),0.5584428552324611,0.5887008468304626,2435.0,2035.0,4084.0,4484.0,5014.0,2932.0,142504.0,144586.0,0.3735235465562203,0.312164442399141,0.32688951537119076,0.4097040467082746,0.3486540664375716,0.35434441929305244,37686.0,38804.0
